Ano,D.Y,P/L,PEG RATIO,P/VP,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Ticker,Tipo
2021,"1,24%","32,07",-,"4,19","19,42","25,31","17,35","22,62","41,16","2,02","5,38","3,50","229,96","-2,59","0,49","2,02","2,64","0,48","0,52","1,04","32,28%","20,19%","15,49%","10,92%","13,06%","6,30%","9,16%","0,58","-3,06%","-6,49%",E1TN34,bdrs
2020,"1,71%","34,08",-,"3,22",-,"29,05",-,"25,36","37,30","1,51","3,52","2,69","14,57","-2,12","0,47",-,"3,67","0,47","0,53","1,56","30,52%",-%,"10,61%","7,90%","9,44%","4,43%","6,80%","0,56","-1,05%","4,28%",E1TN34,bdrs
2019,-,-,-,-,"12,63","16,59",-,-,"38,90",-,"5,35",-,-,-,"0,48","2,08","2,73","0,49","0,51","1,70","32,97%","17,35%","13,22%","10,34%","13,75%","6,74%","10,04%","0,65","-0,40%","2,88%",E1TN34,bdrs
2018,-,-,-,-,"10,24","13,67",-,-,"37,18",-,"4,95",-,-,-,"0,44","1,97","2,63","0,52","0,48","1,47","32,85%","16,65%","12,47%","9,93%","13,32%","6,90%","10,23%","0,70","4,58%","19,65%",E1TN34,bdrs
2017,-,-,-,-,"9,16","11,47",-,-,"39,16",-,"6,77",-,-,-,"0,39","1,47","1,84","0,53","0,47","1,64","32,58%","22,19%","17,71%","14,63%","17,30%","9,15%","12,93%","0,63","4,23%","7,25%",E1TN34,bdrs
2016,-,-,-,-,"11,54","16,09",-,-,"33,11",-,"4,24",-,-,-,"0,50","2,30","3,20","0,49","0,51","1,28","32,16%","16,61%","11,91%","9,70%","12,81%","6,29%","9,26%","0,65","8,74%","16,25%",E1TN34,bdrs
2015,-,-,-,-,"9,64","13,47",-,-,"32,91",-,"4,26",-,-,-,"0,48","2,24","3,13","0,49","0,51","1,43","31,41%","15,61%","11,17%","9,46%","12,95%","6,36%","9,45%","0,67","13,69%","36,17%",E1TN34,bdrs
2014,-,-,-,-,"14,08","21,75",-,-,"33,37",-,"3,78",-,-,-,"0,44","2,51","3,88","0,47","0,53","1,51","30,62%","12,36%","8,00%","7,95%","11,32%","5,35%","7,39%","0,67",-%,-%,E1TN34,bdrs
2013,-,-,-,-,"13,80","20,20",-,-,"35,54",-,"3,92",-,-,-,"0,43","2,31","3,38","0,48","0,52","1,78","30,29%","14,26%","9,74%","8,44%","11,04%","5,24%","8,27%","0,62",-%,-%,E1TN34,bdrs
ATUAL,"1,26%","2,08",-,"3,43","-18,43","-13,95","-16,15","-12,23","12,60","1,05","20,77","2,45","10,21","-1,55","0,48","-2,28","-1,73","0,31","0,69","1,48","74,53%","-15,14%","-20,00%","117,67%","164,81%","50,59%","-14,32%","0,43","2,30%","13,37%",EBAY34,bdrs
2021,"0,71%","2,91",-,"4,04","46,63","105,44","43,94","99,35","16,46","1,49","22,91","3,79","8,81","-2,26","0,25","2,74","6,20","0,37","0,63","1,97","74,57%","8,64%","3,82%","130,60%","139,17%","51,11%","1,29%","0,39","3,63%","26,86%",EBAY34,bdrs
2020,"0,84%","6,19",-,"9,86","9,57","11,28","8,71","10,26","5,17","1,82","8,22","3,42","11,01","-2,90","1,11","0,98","1,15","0,18","0,82","1,80","75,92%","39,23%","33,30%","55,17%","159,14%","29,35%","22,45%","0,53","-0,35%","107,89%",EBAY34,bdrs
2019,"0,52%","16,68",-,"10,38","14,46","19,66","12,52","17,03","3,53","1,64","2,20","3,45","46,54","-2,21","1,74","2,11","2,86","0,16","0,84","1,16","75,27%","27,54%","20,25%","20,68%","62,23%","9,83%","14,26%","0,48","0,93%","-2,39%",EBAY34,bdrs
2018,-%,"10,34",-,"4,17","10,87","13,94","9,07","11,64","6,52","1,15","2,63","3,03","9,79","-1,67","0,69","1,50","1,92","0,28","0,72","1,60","76,61%","33,34%","26,00%","29,25%","40,28%","11,09%","13,72%","0,38","-6,74%",-%,EBAY34,bdrs
2017,-%,"-38,86",-,"4,91","14,77","19,15","13,39","17,37","7,71","1,52","-0,97","3,98","9,44","-2,17","0,52","1,41","1,83","0,31","0,69","2,18","77,63%","29,73%","22,92%","-10,24%","-12,64%","-3,91%","-5,61%","0,38","-4,41%","17,61%",EBAY34,bdrs
2016,-%,"4,64",-,"3,20",-,"9,59",-,"9,24","9,43","1,41","6,50","3,63","6,71","-2,25","0,17",-,"0,50","0,44","0,56","2,31","78,45%",-%,"39,27%","78,15%","68,94%","30,47%","0,09%","0,39","-1,26%","-0,86%",EBAY34,bdrs
2015,-%,"19,47",-,"5,11","11,65","15,30","11,64","15,29","5,48","1,89","1,44","3,91","5,95","-3,41","0,09","0,21","0,28","0,37","0,63","3,49","79,39%","33,57%","25,57%","20,08%","26,23%","9,72%","13,04%","0,48","0,14%","-54,62%",EBAY34,bdrs
2014,-%,"1.542,70",-,"3,57","8,62","11,00","22,47","28,66","16,02","1,57","0,04","8,07","7,88","-3,82","-0,05","-0,34","-0,43","0,44","0,56","1,51","81,08%","35,93%","28,17%","0,52%","0,23%","0,10%","-3,39%","0,19",-%,-%,EBAY34,bdrs
2013,-%,"23,36",-,"2,82","7,68","9,74","21,43","27,19","18,27","1,61","2,21","8,08","6,27","-3,67","-0,21","-1,58","-2,00","0,57","0,43","1,84","81,93%","37,71%","29,72%","34,59%","12,08%","6,88%","7,02%","0,20",-%,-%,EBAY34,bdrs
ATUAL,"0,85%","40,77",-,"6,38","21,64","33,37","18,41","28,39","24,79","2,14","3,88","3,45","46,43","-2,74","1,22","3,53","5,44","0,34","0,66","1,27","39,17%","18,71%","12,14%","8,45%","15,65%","5,26%","8,47%","0,62","-0,64%","-1,67%",E1CL34,bdrs
2021,"0,55%","59,61",-,"9,32","30,58","46,37","27,21","41,26","25,18","3,18","3,94","5,29","59,40","-4,08","1,16","3,39","5,14","0,34","0,66","1,32","40,19%","19,44%","12,82%","8,87%","15,64%","5,33%","8,52%","0,60","-2,74%",-%,E1CL34,bdrs
2020,"0,62%","-49,91",-,"9,75","29,67","46,28","26,57","41,44","21,60","3,32","-4,22","5,10","27,53","-4,62","0,88","2,40","3,74","0,34","0,66","1,75","41,43%","19,20%","12,31%","-10,22%","-19,54%","-6,65%","9,92%","0,65","0,86%","5,32%",E1CL34,bdrs
2019,-,-,-,-,"20,17","29,57",-,-,"30,13",-,"5,41",-,-,-,"0,71","2,01","2,95","0,42","0,58","1,33","41,48%","20,55%","14,02%","10,46%","17,95%","7,47%","11,75%","0,71","2,05%","8,11%",E1CL34,bdrs
2018,-,-,-,-,"16,69","24,42",-,-,"27,70",-,"4,95",-,-,-,"0,87","2,34","3,42","0,40","0,60","1,27","41,19%","20,22%","13,82%","9,74%","17,86%","7,12%","11,05%","0,73","3,17%","16,42%",E1CL34,bdrs
2017,-,-,-,-,"15,76","22,74",-,-,"26,25",-,"5,21",-,-,-,"0,94","2,44","3,52","0,38","0,62","1,32","41,72%","21,04%","14,58%","10,87%","19,84%","7,54%","11,90%","0,69","14,11%","21,59%",E1CL34,bdrs
2016,-,-,-,-,"14,66","21,18",-,-,"23,67",-,"4,22",-,-,-,"0,92","2,30","3,32","0,38","0,62","1,42","42,72%","21,02%","14,55%","9,34%","17,81%","6,70%","11,12%","0,72","17,34%","13,57%",E1CL34,bdrs
2015,-,-,-,-,"15,67","24,30",-,-,"23,64",-,"3,39",-,-,-,"0,60","1,72","2,67","0,37","0,63","0,93","46,67%","17,87%","11,53%","7,40%","14,36%","5,38%","11,22%","0,73","19,34%","23,58%",E1CL34,bdrs
2014,-,-,-,-,"12,74","18,42",-,-,"24,60",-,"4,01",-,-,-,"0,63","1,64","2,37","0,38","0,62","1,11","46,23%","19,80%","13,69%","8,42%","16,29%","6,19%","12,10%","0,74","16,65%","16,65%",E1CL34,bdrs
2013,-,-,-,-,"15,62","23,79",-,-,"24,59",-,"3,21",-,-,-,"0,77","2,40","3,66","0,38","0,62","1,35","45,97%","17,93%","11,78%","7,30%","13,06%","4,93%","9,19%","0,67",-%,-%,E1CL34,bdrs
ATUAL,"20,01%","1,00",-,"0,80",-,"1,02",-,"0,52","13,01","0,28","10,40","0,17","4,34","-0,37","0,75",-,"0,50","0,36","0,64","1,38","39,94%",-%,"32,83%","17,25%","79,99%","28,43%","55,37%","1,65","6,93%","31,98%",E1CO34,bdrs
2021,"0,61%","6,26",-,"1,61","4,59","6,11","2,69","3,58","8,19","0,46","2,11","1,20","5,15","-0,58","1,18","1,96","2,61","0,28","0,72","1,71","39,51%","44,64%","33,59%","19,19%","25,74%","7,27%","13,48%","0,38","-6,85%",-%,E1CO34,bdrs
2020,-%,"676,37",-,"37,09","103,02","213,36","102,66","212,61","0,35","13,44","0,02","36,85","406,53","-16,11","0,84","2,31","4,79","0,36","0,64","1,25","25,20%","35,90%","17,33%","5,45%","5,48%","1,99%","6,90%","0,36","-8,76%","4,02%",E1CO34,bdrs
2019,-,-,-,-,"86,09","118,14",-,-,"0,40",-,"0,11",-,-,-,"0,57","0,99","1,35","0,41","0,59","1,07","37,09%","44,26%","32,26%","20,99%","27,58%","11,21%","19,79%","0,53","-11,09%","-11,67%",E1CO34,bdrs
2018,-,-,-,-,"67,61","89,21",-,-,"0,41",-,"0,09",-,-,-,"0,58","1,00","1,32","0,44","0,56","1,52","39,97%","46,40%","35,17%","18,01%","22,41%","9,91%","17,02%","0,55","-13,43%","-20,25%",E1CO34,bdrs
2017,-,-,-,-,"71,20","105,03",-,-,"0,38",-,"0,06",-,-,-,"0,77","1,39","2,04","0,39","0,61","1,38","34,04%","45,96%","31,16%","14,24%","17,16%","6,76%","12,92%","0,47","-14,89%","-33,78%",E1CO34,bdrs
2016,-,-,-,-,"61,55","103,15",-,-,"0,34",-,"0,03",-,-,-,"1,04","2,32","3,89","0,35","0,65","1,47","29,36%","38,90%","23,21%","6,70%","7,73%","2,73%","7,12%","0,41","-1,20%",-%,E1CO34,bdrs
2015,-,-,-,-,"85,54","357,28",-,-,"0,42",-,"-0,07",-,-,-,"0,95","4,59","19,17","0,35","0,65","1,15","29,33%","17,00%","4,07%","-13,74%","-16,69%","-5,82%","1,55%","0,42","19,25%","9,26%",E1CO34,bdrs
2014,-,-,-,-,"62,06","86,29",-,-,"0,88",-,"0,09",-,-,-,"0,34","1,08","1,50","0,51","0,49","1,21","34,63%","33,49%","24,09%","10,90%","10,32%","5,28%","8,88%","0,48","16,63%","3,20%",E1CO34,bdrs
2013,-,-,-,-,"121,09","134,58",-,-,"0,99",-,"0,17",-,-,-,"0,14","0,45","0,50","0,57","0,43","1,29","39,58%","34,46%","31,00%","18,61%","17,32%","9,90%","14,15%","0,53",-%,-%,E1CO34,bdrs
ATUAL,"2,98%","38,29",-,"1,53","12,45","32,94","5,79","15,32","41,27","0,32","1,65","1,51","-7,84","-0,35","1,77","6,72","17,77","0,21","0,79","0,63","38,09%","26,11%","9,87%","3,95%","3,99%","0,84%","3,23%","0,21","4,66%","-8,28%",E1IX34,bdrs
2021,"2,59%","34,07",-,"1,63","12,61","31,02","6,13","15,09","41,77","0,35","2,00","1,73","-8,29","-0,37","1,71","6,45","15,88","0,21","0,79","0,64","38,38%","28,29%","11,50%","5,09%","4,78%","1,02%","3,63%","0,20","3,33%","-3,11%",E1IX34,bdrs
2020,"3,00%","30,78",-,"1,62","12,20","31,85","5,93","15,49","37,11","0,33","1,95","1,68","-4,36","-0,35","1,64","5,99","15,65","0,20","0,80","0,49","37,10%","28,23%","10,81%","5,44%","5,26%","1,07%","3,13%","0,20","-1,64%","-2,71%",E1IX34,bdrs
2019,-,-,-,-,"11,69","23,31",-,-,"37,10",-,"3,58",-,-,-,"1,42","4,80","9,57","0,21","0,79","0,64","36,37%","31,77%","15,94%","10,40%","9,65%","1,99%","5,25%","0,19","0,12%",-%,E1IX34,bdrs
2018,-,-,-,-,"21,31","-95,16",-,-,"32,10",-,"-0,97",-,-,-,"1,46","9,64","-43,06","0,18","0,82","0,62","35,19%","12,52%","-2,80%","-2,50%","-3,02%","-0,56%","-4,23%","0,22","0,76%",-%,E1IX34,bdrs
2017,-,-,-,-,"9,19","21,43",-,-,"35,82",-,"1,73",-,-,-,"1,15","3,63","8,45","0,22","0,78","0,53","37,36%","30,06%","12,89%","4,59%","4,84%","1,07%","4,99%","0,23","2,31%",-%,E1IX34,bdrs
2016,-,-,-,-,"8,44","16,60",-,-,"36,82",-,"4,02",-,-,-,"1,05","2,95","5,80","0,23","0,77","0,36","37,44%","35,97%","18,29%","11,05%","10,93%","2,55%","8,08%","0,23","2,89%","-4,08%",E1IX34,bdrs
2015,-,-,-,-,"7,48","14,95",-,-,"41,09",-,"3,13",-,-,-,"0,80","2,67","5,34","0,27","0,73","0,54","62,98%","34,82%","17,42%","8,85%","7,62%","2,03%","6,27%","0,23","1,65%","13,68%",E1IX34,bdrs
2014,-,-,-,-,"7,33","12,72",-,-,"39,85",-,"4,95",-,-,-,"0,78","2,36","4,09","0,26","0,74","0,65","58,30%","31,96%","18,43%","12,02%","12,42%","3,24%","8,74%","0,27","-2,27%","-5,51%",E1IX34,bdrs
2013,-,-,-,-,"7,26","14,44",-,-,"35,88",-,"2,81",-,-,-,"0,83","2,84","5,64","0,25","0,75","0,68","61,12%","27,11%","13,63%","7,27%","7,83%","1,96%","6,85%","0,27",-%,-%,E1IX34,bdrs
ATUAL,-%,"40,03",-,"10,54","31,65","34,11","32,34","34,85","9,40","7,31","2,47","11,50","26,88","-11,89","-0,15","-0,47","-0,51","0,69","0,31","3,41","76,58%","35,55%","32,99%","28,72%","26,32%","18,27%","24,17%","0,64","12,04%","21,42%",E1WL34,bdrs
2021,-%,"54,52",-,"14,04","43,11","46,49","44,17","47,63","9,35","9,64","2,41","15,66","38,14","-15,40","-0,15","-0,47","-0,51","0,69","0,31","3,08","76,13%","35,46%","32,88%","28,73%","25,76%","17,68%","23,66%","0,62","11,96%","10,72%",E1WL34,bdrs
2020,-%,"68,64",-,"12,36","53,91","60,11","54,36","60,61","7,34","7,81","1,32","12,88","25,72","-13,63","-0,18","-0,78","-0,87","0,63","0,37","3,46","75,36%","23,70%","21,26%","18,77%","18,00%","11,38%","16,23%","0,61","13,36%","5,24%",E1WL34,bdrs
2019,-,-,-,-,"37,40","40,21",-,-,"6,63",-,"1,67",-,-,-,"-0,22","-0,72","-0,78","0,64","0,36","3,31","74,37%","29,36%","27,30%","24,08%","25,24%","16,14%","22,51%","0,67","12,72%","13,17%",E1WL34,bdrs
2018,-,-,-,-,"36,44","40,01",-,-,"5,01",-,"1,15",-,-,-,"-0,12","-0,42","-0,46","0,59","0,41","2,61","74,77%","23,33%","21,26%","19,40%","23,00%","13,57%","20,14%","0,70","12,58%","14,89%",E1WL34,bdrs
2017,-,-,-,-,"20,66","22,26",-,-,"4,66",-,"0,92",-,-,-,"-0,10","-0,26","-0,28","0,52","0,48","1,80","74,52%","33,18%","30,80%","16,99%","19,74%","10,30%","15,20%","0,61","12,04%","19,20%",E1WL34,bdrs
2016,-,-,-,-,"23,65","25,87",-,-,"4,08",-,"0,89",-,-,-,"-0,17","-0,54","-0,59","0,58","0,42","4,21","73,09%","27,95%","25,55%","19,22%","21,74%","12,63%","17,11%","0,66","11,50%","17,82%",E1WL34,bdrs
2015,-,-,-,-,"23,16","25,53",-,-,"3,87",-,"0,76",-,-,-,"-0,25","-0,89","-0,98","0,62","0,38","4,30","75,25%","28,41%","25,77%","19,85%","19,77%","12,20%","16,62%","0,61","11,94%","28,77%",E1WL34,bdrs
2014,-,-,-,-,"22,77","25,94",-,-,"3,41",-,"1,26",-,-,-,"-0,38","-1,50","-1,71","0,62","0,38","5,24","73,07%","24,17%","21,21%","34,92%","37,01%","23,02%","5,73%","0,66",-%,-%,E1WL34,bdrs
2013,-,-,-,-,"12,80","14,50",-,-,"2,35",-,"0,59",-,-,-,"-0,22","-0,64","-0,73","0,57","0,43","4,99","74,74%","26,17%","23,10%","19,02%","25,19%","14,36%","16,39%","0,75",-%,-%,E1WL34,bdrs
ATUAL,-%,"-36,07",-,"17,70","-75,01","-40,58","-76,75","-41,53","4,38","4,48","-2,15","8,53","12,89","-15,34","-0,72","3,10","1,68","0,25","0,75","1,96","73,08%","-11,11%","-20,53%","-23,64%","-49,07%","-12,41%","-18,65%","0,52","57,79%",-%,E2ST34,bdrs
2021,-%,"-127,92",-,"36,73","-173,21","-90,34","-260,81","-136,04","4,87","17,01","-1,40","27,21","88,45","-49,28","-0,90","6,36","3,32","0,46","0,54","1,42","73,53%","-10,43%","-20,00%","-21,27%","-28,71%","-13,30%","-28,71%","0,63",-%,-%,E2ST34,bdrs
2020,-,-,-,-,"-97,47","-73,74",-,-,"4,73",-,"-1,91",-,-,-,"-0,72","2,34","1,77","0,51","0,49","1,49","71,31%","-29,93%","-39,55%","-39,09%","-40,41%","-20,80%","-41,37%","0,53",-%,-%,E2ST34,bdrs
2019,-,-,-,-,"-69,01","-49,94",-,-,"3,26",-,"-1,27",-,-,-,"-1,14","4,24","3,07","0,54","0,46","2,11","71,28%","-26,08%","-36,04%","-37,66%","-38,90%","-21,06%","-38,90%","0,56",-%,-%,E2ST34,bdrs
2018,-,-,-,-,"-159,14","-101,75",-,-,"-2,16",-,"-0,74",-,-,-,-,"1,64","1,05","-0,84","0,74","1,06","74,53%","-19,73%","-30,86%","-32,97%","-34,34%","-28,81%","34,34%","0,87",-%,-%,E2ST34,bdrs
2017,-,-,-,-,"2,07","1,57",-,-,-,-,-,-,-,-,-,"2,07","1,57","-0,89","0,50","1,89","77,49%","-41,04%","-54,16%","-58,94%","-40,43%","-36,00%","40,43%","0,61",-%,-%,E2ST34,bdrs
ATUAL,"0,37%","44,81",-,"4,64","21,68","31,43","22,56","32,70","27,24","2,56","2,82","5,06","55,41","-3,66","-0,16","-0,76","-1,10","0,55","0,45","1,18","73,41%","22,41%","15,46%","11,29%","10,35%","5,72%","8,30%","0,51","7,61%","-3,99%",EAIN34,bdrs
2021,"0,33%","45,06",-,"4,81","27,30","32,16","31,48","37,08","27,80","2,84","2,97","6,70","8,88","-6,21","-0,57","-3,75","-4,41","0,59","0,41","2,43","73,46%","21,28%","18,07%","14,87%","10,68%","6,30%","8,61%","0,42","4,17%","28,28%",EAIN34,bdrs
2020,"0,08%","13,62",-,"5,55","22,25","24,46","24,96","27,45","25,74","3,72","10,48","7,47","10,74","-9,01","-0,64","-2,86","-3,14","0,67","0,33","2,45","75,28%","29,94%","27,23%","54,89%","40,73%","27,35%","-0,27%","0,50","6,72%","163,64%",EAIN34,bdrs
2019,-%,"30,68",-,"5,86","23,61","27,05","27,40","31,38","18,26","3,49","3,49","6,32","7,59","-12,13","-0,83","-3,90","-4,47","0,60","0,40","2,82","73,29%","23,05%","20,12%","20,59%","19,11%","11,38%","14,80%","0,55","6,29%","60,48%",EAIN34,bdrs
2018,-,-,-,-,"12,42","13,60",-,-,"15,21",-,"3,45",-,-,-,"-0,94","-2,76","-3,03","0,54","0,46","2,41","75,20%","30,49%","27,84%","20,25%","22,70%","12,15%","18,40%","0,60","3,18%","66,31%",EAIN34,bdrs
2017,-,-,-,-,"20,64","23,54",-,-,"13,19",-,"3,14",-,-,-,"-0,87","-2,54","-2,89","0,53","0,47","2,15","73,21%","28,81%","25,26%","19,96%","23,82%","12,53%","19,43%","0,63","4,14%",-%,EAIN34,bdrs
2016,-,-,-,-,"19,11","23,30",-,-,"11,25",-,"3,83",-,-,-,"-0,84","-2,60","-3,17","0,48","0,52","1,80","69,20%","24,91%","20,43%","26,30%","34,04%","16,40%","14,11%","0,62","4,32%",-%,EAIN34,bdrs
2015,-,-,-,-,"15,73","19,38",-,-,"9,77",-,"2,82",-,-,-,"-0,98","-2,56","-3,15","0,49","0,51","1,35","68,35%","25,87%","21,00%","19,38%","28,82%","14,23%","29,28%","0,73","-3,23%",-%,EAIN34,bdrs
2014,-,-,-,-,"49,36","388,90",-,-,"7,79",-,"0,03",-,-,-,"-0,74","-6,87","-54,09","0,42","0,58","1,31","62,32%","7,27%","0,92%","0,22%","0,33%","0,14%","1,07%","0,63",-%,-%,EAIN34,bdrs
2013,-,-,-,-,"15,51","49,34",-,-,"7,33",-,"0,32",-,-,-,"-0,49","-2,91","-9,26","0,45","0,55","1,21","63,44%","10,14%","3,19%","2,58%","4,32%","1,93%","2,83%","0,75",-%,-%,EAIN34,bdrs
ATUAL,"1,75%","16,39",-,"4,44","11,05","13,80","9,99","12,48","17,80","1,59","4,83","2,48","8,59","-2,94","0,38","0,86","1,07","0,36","0,64","1,68","41,00%","24,87%","19,91%","15,16%","27,11%","9,72%","14,13%","0,64","4,66%","7,09%",E1MR34,bdrs
2021,"1,43%","23,93",-,"5,58","14,75","19,42","13,66","17,97","16,64","2,23","3,88","3,02","25,21","-3,38","0,44","1,07","1,41","0,40","0,60","1,35","41,47%","22,13%","16,81%","12,63%","23,30%","9,32%","14,99%","0,74","0,65%","-6,23%",E1MR34,bdrs
2020,"2,01%","24,12",-,"5,64","15,65","21,02","14,17","19,03","14,02","2,07","3,28","2,82","15,69","-3,37","0,50","1,25","1,67","0,37","0,63","1,52","41,76%","19,93%","14,84%","11,71%","23,38%","8,59%","13,50%","0,73","0,71%","1,44%",E1MR34,bdrs
2019,-,-,-,-,"13,18","16,75",-,-,"13,48",-,"3,77",-,-,-,"0,51","1,10","1,39","0,40","0,60","1,19","42,54%","20,98%","16,51%","12,55%","28,01%","11,25%","17,93%","0,90","-6,73%","1,91%",E1MR34,bdrs
2018,-,-,-,-,"11,41","14,47",-,-,"14,36",-,"3,54",-,-,-,"0,41","1,02","1,30","0,44","0,56","1,07","42,69%","20,59%","16,23%","12,66%","24,62%","10,80%","17,39%","0,85","-8,96%","-4,66%",E1MR34,bdrs
2017,-,-,-,-,"14,77","18,53",-,-,"13,58",-,"2,37",-,-,-,"0,18","0,51","0,64","0,45","0,55","1,64","42,13%","20,55%","16,38%","9,94%","17,41%","7,75%","13,76%","0,78","-9,73%","-7,99%",E1MR34,bdrs
2016,-,-,-,-,"10,93","13,15",-,-,"11,82",-,"2,54",-,-,-,"0,11","0,26","0,31","0,35","0,65","1,24","43,12%","23,18%","19,27%","11,26%","21,46%","7,52%","18,00%","0,67","-5,04%","4,60%",E1MR34,bdrs
2015,-,-,-,-,"6,63","7,51",-,-,"12,48",-,"4,16",-,-,-,"0,15","0,25","0,29","0,37","0,63","1,29","43,13%","30,06%","26,54%","16,68%","33,34%","12,27%","24,52%","0,74","-2,48%","4,49%",E1MR34,bdrs
2014,-,-,-,-,"10,37","12,01",-,-,"14,66",-,"3,10",-,-,-,"0,04","0,10","0,11","0,42","0,58","1,29","43,77%","23,50%","20,29%","12,11%","21,12%","8,88%","19,27%","0,73",-%,-%,E1MR34,bdrs
2013,-,-,-,-,"9,87","13,31",-,-,"15,20",-,"2,84",-,-,-,"0,07","0,15","0,21","0,43","0,57","1,44","40,34%","20,64%","15,31%","8,12%","18,70%","8,11%","17,91%","1,00",-%,-%,E1MR34,bdrs
ATUAL,"1,61%","10,92",-,"1,12",-,"2,57",-,"3,15","4,51","0,44","0,46","0,71","-12,25","-0,57","-0,16",-,"-0,44","0,39","0,61","0,87","42,04%",-%,"22,41%","6,45%","10,21%","4,01%","26,08%","0,62","16,20%","2,25%",E1NI34,bdrs
2021,"2,88%","10,16",-,"0,90","4,33","4,33","3,85","3,85","5,98","0,33","0,53","0,71","-15,72","-0,41","0,10","0,43","0,43","0,37","0,63","0,91","35,45%","18,48%","18,48%","7,01%","8,84%","3,25%","14,09%","0,46","8,92%","3,55%",E1NI34,bdrs
2020,-%,"530,75",-,"77,35","248,78","248,78","249,16","249,16","0,11","23,28","0,02","51,42","-571,01","-30,21","0,07","0,22","0,22","0,30","0,70","0,85","38,03%","20,64%","20,64%","9,69%","14,57%","4,39%","19,18%","0,45","2,36%","16,66%",E1NI34,bdrs
2019,-,-,-,-,"238,50","238,50",-,-,"0,13",-,"0,03",-,-,-,"-0,19","-0,55","-0,55","0,33","0,67","0,98","40,33%","24,41%","24,41%","15,16%","21,77%","7,29%","32,69%","0,48","0,72%","-5,63%",E1NI34,bdrs
2018,-,-,-,-,"160,72","160,72",-,-,"0,12",-,"0,03",-,-,-,"-0,28","-0,60","-0,60","0,25","0,75","0,66","38,81%","24,46%","24,46%","12,83%","24,79%","6,08%","40,73%","0,47","-5,45%","-9,70%",E1NI34,bdrs
2017,-,-,-,-,"254,56","254,56",-,-,"0,11",-,"0,02",-,-,-,"-0,23","-0,59","-0,59","0,32","0,68","0,92","43,64%","24,10%","24,10%","10,79%","17,38%","5,59%","30,80%","0,52","-11,05%","-11,15%",E1NI34,bdrs
2016,-,-,-,-,"186,28","186,28",-,-,"0,13",-,"0,02",-,-,-,"-0,43","-1,25","-1,25","0,37","0,63","1,25","49,39%","28,12%","28,12%","13,28%","16,37%","6,02%","26,09%","0,45","-9,54%","-14,73%",E1NI34,bdrs
2015,-,-,-,-,"169,03","169,03",-,-,"0,25",-,"0,02",-,-,-,"-0,14","-0,94","-0,94","0,53","0,47","1,76","47,61%","23,67%","23,67%","12,48%","8,08%","4,28%","8,93%","0,34","1,87%","-15,71%",E1NI34,bdrs
2014,-,-,-,-,"134,89","134,89",-,-,"0,30",-,"0,02",-,-,-,"-0,21","-0,96","-0,96","0,52","0,48","1,23","45,67%","24,39%","24,39%","7,88%","6,91%","3,59%","14,62%","0,46","3,70%","19,94%",E1NI34,bdrs
2013,-,-,-,-,"108,89","108,89",-,-,"0,35",-,"0,05",-,-,-,"0,05","0,22","0,22","0,56","0,44","1,31","50,69%","28,99%","28,99%","17,77%","13,09%","7,34%","11,61%","0,41",-%,-%,E1NI34,bdrs
ATUAL,"2,41%","21,00",-,"1,90","11,52","23,52","5,13","10,47","57,91","0,37","5,24","1,90","-14,67","-0,40","2,37","6,39","13,04","0,20","0,80","0,72","41,42%","37,03%","18,14%","9,04%","9,04%","1,78%","4,82%","0,20","1,60%",-%,E1TR34,bdrs
2021,"2,44%","18,77",-,"1,79","11,20","22,76","4,75","9,66","57,76","0,35","5,52","1,79","-8,18","-0,38","2,28","6,03","12,25","0,20","0,80","0,59","41,49%","37,61%","18,51%","9,52%","9,56%","1,88%","5,11%","0,20","-2,56%",-%,E1TR34,bdrs
2020,"2,43%","14,46",-,"1,83",-,"19,89",-,"9,46","54,74","0,34","6,93","1,99","-8,03","-0,37","2,03",-,"10,47","0,19","0,81","0,65","44,08%",-%,"20,99%","13,73%","12,67%","2,38%","5,73%","0,17","-2,73%","5,99%",E1TR34,bdrs
2019,-,-,-,-,"10,60","22,81",-,-,"51,52",-,"6,23",-,-,-,"1,89","4,76","10,23","0,20","0,80","0,54","38,41%","37,49%","17,43%","11,41%","12,10%","2,40%","5,74%","0,21","-0,68%","3,91%",E1TR34,bdrs
2018,-,-,-,-,"12,83","56,91",-,-,"47,05",-,"4,51",-,-,-,"1,99","6,69","29,68","0,18","0,81","0,54","33,63%","23,93%","5,40%","7,71%","9,60%","1,76%","-1,64%","0,23","1,46%","-12,86%",E1TR34,bdrs
2017,-,-,-,-,"8,14","18,25",-,-,"44,34",-,"2,28",-,-,-,"1,99","4,23","9,49","0,17","0,82","0,65","37,75%","33,90%","15,13%","3,72%","5,15%","0,88%","4,59%","0,24","-0,69%",-%,E1TR34,bdrs
